attendance_id,ticket_id,match_id,customer_id,tickets_issued,tickets_scanned,scan_timestamp,entry_gate,attendance_status
A0000001,T0000001,M001,C002558,2,2,2025-03-08 17:38:00,North Gate,Full Scan
A0000002,T0000002,M001,C000024,10,8,2025-03-08 17:39:00,Premium Entrance,Partial Scan
A0000003,T0000003,M001,C001697,6,4,2025-03-08 17:20:00,West Gate,Partial Scan
A0000004,T0000004,M001,C002317,3,3,2025-03-08 17:49:00,Premium Entrance,Full Scan
A0000005,T0000005,M001,C003039,1,1,2025-03-08 16:46:00,West Gate,Full Scan
A0000006,T0000006,M001,C003049,1,1,2025-03-08 17:16:00,West Gate,Full Scan
A0000007,T0000007,M001,C001793,1,1,2025-03-08 17:28:00,North Gate,Full Scan
A0000008,T0000008,M001,C000203,1,1,2025-03-08 17:26:00,West Gate,Full Scan
A0000009,T0000009,M001,C000891,1,1,2025-03-08 17:03:00,East Gate,Full Scan
A0000010,T0000010,M001,C002884,4,4,2025-03-08 17:21:00,West Gate,Full Scan
A0000011,T0000011,M001,C002222,2,2,2025-03-08 17:09:00,North Gate,Full Scan
A0000012,T0000012,M001,C001018,20,16,2025-03-08 17:02:00,Premium Entrance,Partial Scan
A0000013,T0000013,M001,C002443,1,1,2025-03-08 16:41:00,North Gate,Full Scan
A0000014,T0000014,M001,C000839,2,2,2025-03-08 17:40:00,North Gate,Full Scan
A0000015,T0000015,M001,C000782,2,2,2025-03-08 17:05:00,East Gate,Full Scan
A0000016,T0000016,M001,C003133,2,1,2025-03-08 17:19:00,West Gate,Partial Scan
A0000017,T0000017,M001,C002875,2,2,2025-03-08 17:12:00,West Gate,Full Scan
A0000018,T0000018,M001,C000736,1,1,2025-03-08 17:24:00,North Gate,Full Scan
A0000019,T0000019,M001,C001630,1,1,2025-03-08 17:29:00,North Gate,Full Scan
A0000020,T0000020,M001,C001001,2,1,2025-03-08 16:43:00,North Gate,Partial Scan
A0000021,T0000021,M001,C001321,2,2,2025-03-08 17:14:00,East Gate,Full Scan
A0000022,T0000022,M001,C000197,10,9,2025-03-08 17:18:00,West Gate,Partial Scan
A0000023,T0000023,M001,C001593,3,2,2025-03-08 17:28:00,East Gate,Partial Scan
A0000024,T0000024,M001,C003011,1,1,2025-03-08 17:24:00,West Gate,Full Scan
A0000025,T0000025,M001,C001973,1,1,2025-03-08 17:33:00,Premium Entrance,Full Scan
A0000026,T0000026,M001,C000880,2,1,2025-03-08 17:38:00,West Gate,Partial Scan
A0000027,T0000027,M001,C001078,1,1,2025-03-08 17:28:00,North Gate,Full Scan
A0000028,T0000028,M001,C000071,1,1,2025-03-08 17:08:00,Premium Entrance,Full Scan
A0000029,T0000029,M001,C000942,1,1,2025-03-08 17:27:00,East Gate,Full Scan
A0000030,T0000030,M001,C001599,3,3,2025-03-08 17:37:00,East Gate,Full Scan
A0000031,T0000031,M001,C002457,1,1,2025-03-08 17:18:00,East Gate,Full Scan
A0000032,T0000032,M001,C000677,3,2,2025-03-08 17:17:00,East Gate,Partial Scan
A0000033,T0000033,M001,C002288,3,3,2025-03-08 17:16:00,Premium Entrance,Full Scan
A0000034,T0000034,M001,C000473,1,1,2025-03-08 17:17:00,East Gate,Full Scan
A0000035,T0000035,M001,C000621,3,3,2025-03-08 17:33:00,West Gate,Full Scan
A0000036,T0000036,M001,C002815,1,1,2025-03-08 17:23:00,East Gate,Full Scan
A0000037,T0000037,M001,C001548,2,2,2025-03-08 17:28:00,East Gate,Full Scan
A0000038,T0000038,M001,C002380,2,2,2025-03-08 17:45:00,North Gate,Full Scan
A0000039,T0000039,M001,C002830,2,1,2025-03-08 16:41:00,East Gate,Partial Scan
A0000040,T0000040,M001,C002339,8,6,2025-03-08 16:58:00,North Gate,Partial Scan
A0000041,T0000041,M001,C002189,1,1,2025-03-08 17:00:00,East Gate,Full Scan
A0000042,T0000042,M001,C002106,4,4,2025-03-08 17:15:00,Premium Entrance,Full Scan
A0000043,T0000043,M001,C002774,1,1,2025-03-08 17:30:00,North Gate,Full Scan
A0000044,T0000044,M001,C003046,1,1,2025-03-08 17:06:00,North Gate,Full Scan
A0000045,T0000045,M001,C002816,3,2,2025-03-08 17:14:00,Premium Entrance,Partial Scan
A0000046,T0000046,M001,C003125,2,1,2025-03-08 17:05:00,East Gate,Partial Scan
A0000047,T0000047,M001,C002369,2,2,2025-03-08 17:22:00,West Gate,Full Scan
A0000048,T0000048,M001,C000219,3,3,2025-03-08 17:13:00,East Gate,Full Scan
A0000049,T0000049,M001,C000468,1,1,2025-03-08 17:40:00,East Gate,Full Scan
A0000050,T0000050,M001,C002692,2,2,2025-03-08 17:09:00,East Gate,Full Scan
A0000051,T0000051,M001,C001350,2,2,2025-03-08 16:54:00,North Gate,Full Scan
A0000052,T0000052,M001,C002301,12,9,2025-03-08 16:54:00,North Gate,Partial Scan
A0000053,T0000053,M001,C002500,2,2,2025-03-08 17:12:00,North Gate,Full Scan
A0000054,T0000054,M001,C003078,2,2,2025-03-08 17:02:00,Premium Entrance,Full Scan
A0000055,T0000055,M001,C000642,3,3,2025-03-08 17:36:00,East Gate,Full Scan
A0000056,T0000056,M001,C002469,2,2,2025-03-08 16:53:00,North Gate,Full Scan
A0000057,T0000057,M001,C001362,1,1,2025-03-08 16:39:00,Premium Entrance,Full Scan
A0000058,T0000058,M001,C001487,2,2,2025-03-08 17:30:00,East Gate,Full Scan
A0000059,T0000059,M001,C003055,4,3,2025-03-08 17:48:00,North Gate,Partial Scan
A0000060,T0000060,M001,C000510,1,1,2025-03-08 17:33:00,East Gate,Full Scan
A0000061,T0000061,M001,C002004,2,2,2025-03-08 17:20:00,North Gate,Full Scan
A0000062,T0000062,M001,C001778,2,2,2025-03-08 17:34:00,West Gate,Full Scan
A0000063,T0000063,M001,C001831,1,1,2025-03-08 17:27:00,West Gate,Full Scan
A0000064,T0000064,M001,C000423,3,3,2025-03-08 17:57:00,East Gate,Full Scan
A0000065,T0000065,M001,C001721,2,2,2025-03-08 17:18:00,North Gate,Full Scan
A0000066,T0000066,M001,C001694,2,2,2025-03-08 17:42:00,North Gate,Full Scan
A0000067,T0000067,M001,C001935,3,3,2025-03-08 17:40:00,North Gate,Full Scan
A0000068,T0000068,M001,C002526,2,1,2025-03-08 17:52:00,Premium Entrance,Partial Scan
A0000069,T0000069,M001,C000668,2,1,2025-03-08 17:32:00,Premium Entrance,Partial Scan
A0000070,T0000070,M001,C001605,1,1,2025-03-08 17:12:00,North Gate,Full Scan
A0000071,T0000071,M001,C000388,2,2,2025-03-08 17:38:00,North Gate,Full Scan
A0000072,T0000072,M001,C001967,1,1,2025-03-08 17:45:00,North Gate,Full Scan
A0000073,T0000073,M001,C001192,1,1,2025-03-08 17:49:00,Premium Entrance,Full Scan
A0000074,T0000074,M001,C002365,2,2,2025-03-08 16:59:00,West Gate,Full Scan
A0000075,T0000075,M001,C001515,1,0,,East Gate,No Show
A0000076,T0000076,M001,C001709,2,2,2025-03-08 17:39:00,North Gate,Full Scan
A0000077,T0000077,M001,C002029,10,9,2025-03-08 17:09:00,West Gate,Partial Scan
A0000078,T0000078,M001,C001956,2,2,2025-03-08 16:50:00,Premium Entrance,Full Scan
A0000079,T0000079,M001,C002033,12,8,2025-03-08 16:42:00,East Gate,Partial Scan
A0000080,T0000080,M001,C001393,1,1,2025-03-08 17:05:00,North Gate,Full Scan
A0000081,T0000081,M001,C000633,1,0,,North Gate,No Show
A0000082,T0000082,M001,C000818,1,1,2025-03-08 16:53:00,North Gate,Full Scan
A0000083,T0000083,M001,C001111,2,2,2025-03-08 17:25:00,Premium Entrance,Full Scan
A0000084,T0000084,M001,C001584,4,4,2025-03-08 17:25:00,East Gate,Full Scan
A0000085,T0000085,M001,C002673,2,2,2025-03-08 17:32:00,North Gate,Full Scan
A0000086,T0000086,M001,C002801,4,3,2025-03-08 17:11:00,North Gate,Partial Scan
A0000087,T0000087,M001,C001327,1,1,2025-03-08 17:26:00,West Gate,Full Scan
A0000088,T0000088,M001,C002316,2,2,2025-03-08 17:43:00,West Gate,Full Scan
A0000089,T0000089,M001,C002435,1,1,2025-03-08 17:23:00,North Gate,Full Scan
A0000090,T0000090,M001,C003057,2,2,2025-03-08 17:34:00,West Gate,Full Scan
A0000091,T0000091,M001,C001416,4,4,2025-03-08 17:32:00,North Gate,Full Scan
A0000092,T0000092,M001,C001072,3,2,2025-03-08 17:29:00,North Gate,Partial Scan
A0000093,T0000093,M001,C001903,1,1,2025-03-08 17:09:00,East Gate,Full Scan
A0000094,T0000094,M001,C000660,1,1,2025-03-08 17:51:00,West Gate,Full Scan
A0000095,T0000095,M001,C001049,2,2,2025-03-08 17:02:00,North Gate,Full Scan
A0000096,T0000096,M001,C001050,12,9,2025-03-08 17:29:00,West Gate,Partial Scan
A0000097,T0000097,M001,C001823,2,2,2025-03-08 17:38:00,West Gate,Full Scan
A0000098,T0000098,M001,C002263,1,1,2025-03-08 17:08:00,East Gate,Full Scan
A0000099,T0000099,M001,C002576,1,1,2025-03-08 17:01:00,West Gate,Full Scan
A0000100,T0000100,M001,C000882,1,1,2025-03-08 17:04:00,North Gate,Full Scan
A0000101,T0000101,M001,C001958,3,3,2025-03-08 17:04:00,Premium Entrance,Full Scan
A0000102,T0000102,M001,C001874,2,2,2025-03-08 17:33:00,North Gate,Full Scan
A0000103,T0000103,M001,C000045,3,2,2025-03-08 17:25:00,Premium Entrance,Partial Scan
