conversion_id,campaign_id,customer_id,sent,opened,clicked,converted,conversion_date,revenue,attributed_ticket_id
CV0000001,CMP001,C002258,1,0,0,0,,0.0,
CV0000002,CMP001,C002955,1,0,0,0,,0.0,
CV0000003,CMP001,C003136,1,0,0,0,,0.0,
CV0000004,CMP001,C001631,1,0,0,0,,0.0,
CV0000005,CMP001,C001566,1,0,0,0,,0.0,
CV0000006,CMP001,C001666,1,0,0,0,,0.0,
CV0000007,CMP001,C002600,1,1,1,0,,0.0,
CV0000008,CMP001,C002200,1,1,0,0,,0.0,
CV0000009,CMP001,C002335,1,1,0,0,,0.0,
CV0000010,CMP001,C001778,1,0,0,0,,0.0,
CV0000011,CMP001,C002933,1,1,0,0,,0.0,
CV0000012,CMP001,C002517,1,1,0,0,,0.0,
CV0000013,CMP001,C000388,1,1,0,0,,0.0,
CV0000014,CMP001,C000896,1,0,0,0,,0.0,
CV0000015,CMP001,C001458,1,0,0,0,,0.0,
CV0000016,CMP001,C000043,1,1,0,0,,0.0,
CV0000017,CMP001,C001923,1,1,0,0,,0.0,
CV0000018,CMP001,C002086,1,1,0,0,,0.0,
CV0000019,CMP001,C002939,1,1,0,0,,0.0,
CV0000020,CMP001,C000633,1,1,0,0,,0.0,
CV0000021,CMP001,C000627,1,0,0,0,,0.0,
CV0000022,CMP001,C000068,1,1,0,0,,0.0,
CV0000023,CMP001,C002547,1,1,1,0,,0.0,
CV0000024,CMP001,C001728,1,1,0,0,,0.0,
CV0000025,CMP001,C001080,1,0,0,0,,0.0,
CV0000026,CMP001,C001215,1,1,0,0,,0.0,
CV0000027,CMP001,C000739,1,1,1,1,2024-12-04,207.64,T0017645
CV0000028,CMP001,C001511,1,0,0,0,,0.0,
CV0000029,CMP001,C002957,1,1,0,0,,0.0,
CV0000030,CMP001,C001600,1,1,1,1,2024-11-19,129.95,T0003832
CV0000031,CMP001,C002683,1,1,0,0,,0.0,
CV0000032,CMP001,C003055,1,1,1,0,,0.0,
CV0000033,CMP001,C001734,1,0,0,0,,0.0,
CV0000034,CMP001,C003157,1,0,0,0,,0.0,
CV0000035,CMP001,C001231,1,0,0,0,,0.0,
CV0000036,CMP001,C003165,1,1,1,1,2025-01-26,105.72,T0012607
CV0000037,CMP001,C000575,1,1,0,0,,0.0,
CV0000038,CMP001,C000948,1,0,0,0,,0.0,
CV0000039,CMP001,C001750,1,0,0,0,,0.0,
CV0000040,CMP001,C002364,1,1,0,0,,0.0,
CV0000041,CMP001,C002366,1,1,0,0,,0.0,
CV0000042,CMP001,C001122,1,1,0,0,,0.0,
CV0000043,CMP001,C000398,1,1,0,0,,0.0,
CV0000044,CMP001,C002653,1,1,0,0,,0.0,
CV0000045,CMP001,C003057,1,1,0,0,,0.0,
CV0000046,CMP001,C001612,1,0,0,0,,0.0,
CV0000047,CMP001,C001412,1,0,0,0,,0.0,
CV0000048,CMP001,C003088,1,0,0,0,,0.0,
CV0000049,CMP001,C002887,1,0,0,0,,0.0,
CV0000050,CMP001,C000308,1,1,1,1,2024-12-20,166.84,T0020870
CV0000051,CMP001,C002996,1,1,0,0,,0.0,
CV0000052,CMP001,C000677,1,1,0,0,,0.0,
CV0000053,CMP001,C001022,1,0,0,0,,0.0,
CV0000054,CMP001,C000328,1,1,0,0,,0.0,
CV0000055,CMP001,C001177,1,0,0,0,,0.0,
CV0000056,CMP001,C000643,1,1,0,0,,0.0,
CV0000057,CMP001,C000423,1,0,0,0,,0.0,
CV0000058,CMP001,C001047,1,1,0,0,,0.0,
CV0000059,CMP001,C002095,1,0,0,0,,0.0,
CV0000060,CMP001,C000891,1,0,0,0,,0.0,
CV0000061,CMP001,C001051,1,1,1,0,,0.0,
CV0000062,CMP001,C001113,1,0,0,0,,0.0,
CV0000063,CMP001,C002814,1,1,1,0,,0.0,
CV0000064,CMP001,C000161,1,1,0,0,,0.0,
CV0000065,CMP001,C001229,1,1,0,0,,0.0,
CV0000066,CMP001,C002171,1,0,0,0,,0.0,
CV0000067,CMP001,C000227,1,1,1,1,2024-12-17,108.33,T0017976
CV0000068,CMP001,C000432,1,0,0,0,,0.0,
CV0000069,CMP001,C001545,1,1,0,0,,0.0,
CV0000070,CMP001,C000066,1,1,0,0,,0.0,
CV0000071,CMP001,C002953,1,1,1,1,2024-12-19,101.98,T0016790
CV0000072,CMP001,C000991,1,1,1,1,2024-11-26,94.77,T0001060
CV0000073,CMP001,C002991,1,0,0,0,,0.0,
CV0000074,CMP001,C000366,1,1,0,0,,0.0,
CV0000075,CMP001,C001118,1,0,0,0,,0.0,
CV0000076,CMP001,C000276,1,0,0,0,,0.0,
CV0000077,CMP001,C003190,1,1,0,0,,0.0,
CV0000078,CMP001,C001967,1,0,0,0,,0.0,
CV0000079,CMP001,C002502,1,0,0,0,,0.0,
CV0000080,CMP001,C002898,1,1,0,0,,0.0,
CV0000081,CMP001,C002367,1,0,0,0,,0.0,
CV0000082,CMP001,C000454,1,1,1,1,2025-01-30,115.9,T0010051
CV0000083,CMP001,C000048,1,1,0,0,,0.0,
CV0000084,CMP001,C001246,1,1,0,0,,0.0,
