ticket_id,customer_id,match_id,ticket_type,purchase_date,quantity,unit_price,total_revenue,section,discount_code,sales_channel
T0000001,C002558,M001,Premium,2025-01-15,2,202.86,405.72,Fieldside,,Online
T0000002,C000024,M001,Group,2024-12-12,10,19.6,196.0,Family Zone,GROUP15,Box Office
T0000003,C001697,M001,Premium,2025-02-13,6,166.21,997.26,Club Level,,Online
T0000004,C002317,M001,Single Match,2025-01-22,3,34.77,104.31,Family Zone,,Box Office
T0000005,C003039,M001,Single Match,2025-02-22,1,32.73,32.73,Supporters' End,,Online
T0000006,C003049,M001,Season Ticket,2024-09-23,1,30.62,30.62,East Sideline,MEMBER,Mobile App
T0000007,C001793,M001,Single Match,2025-02-14,1,32.84,32.84,Family Zone,,Box Office
T0000008,C000203,M001,Season Ticket,2024-12-16,1,23.77,23.77,Supporters' End,MEMBER,Mobile App
T0000009,C000891,M001,Season Ticket,2024-09-08,1,22.17,22.17,Supporters' End,MEMBER,Online
T0000010,C002884,M001,Premium,2025-02-07,4,180.1,720.4,Club Level,,Online
T0000011,C002222,M001,Single Match,2025-01-17,2,30.63,61.26,Supporters' End,FAMILY,Sales Representative
T0000012,C001018,M001,Group,2025-01-19,20,17.41,348.2,Family Zone,GROUP15,Online
T0000013,C002443,M001,Season Ticket,2024-11-12,1,30.67,30.67,East Sideline,MEMBER,Mobile App
T0000014,C000839,M001,Season Ticket,2025-01-03,2,32.88,65.76,West Sideline,MEMBER,Online
T0000015,C000782,M001,Premium,2025-02-01,2,178.74,357.48,Fieldside,WELCOME,Online
T0000016,C003133,M001,Season Ticket,2024-10-07,2,30.22,60.44,East Sideline,MEMBER,Online
T0000017,C002875,M001,Season Ticket,2025-02-16,2,22.12,44.24,Supporters' End,MEMBER,Mobile App
T0000018,C000736,M001,Season Ticket,2024-12-21,1,34.58,34.58,West Sideline,MEMBER,Online
T0000019,C001630,M001,Season Ticket,2025-02-10,1,22.76,22.76,Supporters' End,MEMBER,Box Office
T0000020,C001001,M001,Season Ticket,2024-08-22,2,31.85,63.7,West Sideline,MEMBER,Mobile App
T0000021,C001321,M001,Single Match,2024-12-31,2,35.07,70.14,Family Zone,,Sales Representative
T0000022,C000197,M001,Group,2025-01-23,10,18.94,189.4,North End,GROUP15,Sales Representative
T0000023,C001593,M001,Single Match,2025-02-17,3,33.99,101.97,Family Zone,,Online
T0000024,C003011,M001,Single Match,2025-02-07,1,32.28,32.28,Supporters' End,,Mobile App
T0000025,C001973,M001,Premium,2025-03-03,1,180.15,180.15,Fieldside,SUMMIT10,Sales Representative
T0000026,C000880,M001,Premium,2025-01-01,2,166.65,333.3,Club Level,,Sales Representative
T0000027,C001078,M001,Single Match,2025-03-02,1,36.19,36.19,Family Zone,,Sales Representative
T0000028,C000071,M001,Single Match,2025-01-07,1,46.32,46.32,West Sideline,,Online
T0000029,C000942,M001,Season Ticket,2024-12-06,1,33.91,33.91,East Sideline,MEMBER,Mobile App
T0000030,C001599,M001,Single Match,2025-01-06,3,45.34,136.02,East Sideline,,Mobile App
T0000031,C002457,M001,Season Ticket,2025-01-01,1,22.22,22.22,Supporters' End,MEMBER,Online
T0000032,C000677,M001,Season Ticket,2024-11-11,3,23.76,71.28,Supporters' End,MEMBER,Online
T0000033,C002288,M001,Season Ticket,2024-09-17,3,21.84,65.52,Supporters' End,MEMBER,Online
T0000034,C000473,M001,Single Match,2025-01-24,1,47.53,47.53,West Sideline,,Online
T0000035,C000621,M001,Single Match,2025-02-02,3,45.09,135.27,East Sideline,,Mobile App
T0000036,C002815,M001,Single Match,2025-01-11,1,32.01,32.01,Supporters' End,,Online
T0000037,C001548,M001,Single Match,2025-01-29,2,32.3,64.6,Supporters' End,,Online
T0000038,C002380,M001,Premium,2025-01-16,2,171.53,343.06,Club Level,,Online
T0000039,C002830,M001,Single Match,2025-01-08,2,47.25,94.5,West Sideline,,Sales Representative
T0000040,C002339,M001,Group,2024-12-27,8,18.47,147.76,Family Zone,GROUP15,Online
T0000041,C002189,M001,Season Ticket,2024-12-31,1,30.92,30.92,East Sideline,MEMBER,Mobile App
T0000042,C002106,M001,Single Match,2024-12-31,4,41.96,167.84,East Sideline,,Box Office
T0000043,C002774,M001,Season Ticket,2024-09-03,1,23.45,23.45,Supporters' End,MEMBER,Sales Representative
T0000044,C003046,M001,Season Ticket,2024-12-30,1,21.93,21.93,Supporters' End,MEMBER,Mobile App
T0000045,C002816,M001,Season Ticket,2024-10-20,3,29.8,89.4,East Sideline,MEMBER,Online
T0000046,C003125,M001,Season Ticket,2025-01-20,2,33.29,66.58,West Sideline,MEMBER,Online
T0000047,C002369,M001,Season Ticket,2024-10-08,2,34.3,68.6,West Sideline,MEMBER,Online
T0000048,C000219,M001,Premium,2025-01-06,3,227.15,681.45,Summit Suites,,Mobile App
T0000049,C000468,M001,Single Match,2025-01-18,1,42.46,42.46,East Sideline,,Online
T0000050,C002692,M001,Season Ticket,2024-12-16,2,32.88,65.76,West Sideline,MEMBER,Online
T0000051,C001350,M001,Single Match,2025-02-05,2,50.29,100.58,West Sideline,,Mobile App
T0000052,C002301,M001,Group,2025-02-20,12,19.09,229.08,North End,GROUP15,Online
T0000053,C002500,M001,Single Match,2025-01-12,2,32.27,64.54,Supporters' End,,Mobile App
T0000054,C003078,M001,Single Match,2025-03-01,2,47.67,95.34,West Sideline,,Online
T0000055,C000642,M001,Season Ticket,2024-08-29,3,23.06,69.18,Supporters' End,MEMBER,Online
T0000056,C002469,M001,Single Match,2025-03-07,2,34.1,68.2,Family Zone,,Box Office
T0000057,C001362,M001,Single Match,2025-01-15,1,33.52,33.52,Supporters' End,,Mobile App
T0000058,C001487,M001,Season Ticket,2024-10-01,2,31.4,62.8,East Sideline,MEMBER,Mobile App
T0000059,C003055,M001,Season Ticket,2024-12-21,4,32.87,131.48,East Sideline,MEMBER,Box Office
T0000060,C000510,M001,Season Ticket,2024-08-29,1,32.09,32.09,West Sideline,MEMBER,Sales Representative
T0000061,C002004,M001,Single Match,2025-01-16,2,34.13,68.26,Family Zone,,Online
T0000062,C001778,M001,Season Ticket,2025-01-19,2,22.15,44.3,Supporters' End,MEMBER,Box Office
T0000063,C001831,M001,Premium,2024-12-24,1,176.06,176.06,Club Level,,Mobile App
T0000064,C000423,M001,Season Ticket,2024-10-25,3,33.7,101.1,West Sideline,MEMBER,Mobile App
T0000065,C001721,M001,Single Match,2025-02-14,2,44.52,89.04,East Sideline,,Online
T0000066,C001694,M001,Single Match,2025-03-07,2,42.92,85.84,East Sideline,,Box Office
T0000067,C001935,M001,Single Match,2025-03-03,3,49.0,147.0,West Sideline,,Mobile App
T0000068,C002526,M001,Season Ticket,2024-08-20,2,33.27,66.54,West Sideline,MEMBER,Online
T0000069,C000668,M001,Single Match,2025-02-19,2,27.7,55.4,Supporters' End,SUMMIT10,Online
T0000070,C001605,M001,Season Ticket,2025-01-20,1,31.79,31.79,East Sideline,MEMBER,Mobile App
T0000071,C000388,M001,Season Ticket,2025-01-12,2,30.56,61.12,West Sideline,MEMBER,Online
T0000072,C001967,M001,Season Ticket,2024-11-01,1,29.61,29.61,East Sideline,MEMBER,Online
T0000073,C001192,M001,Season Ticket,2024-08-16,1,29.47,29.47,East Sideline,MEMBER,Online
T0000074,C002365,M001,Season Ticket,2025-02-28,2,33.79,67.58,West Sideline,MEMBER,Online
